claim id,doc id_1,doc id_2,doc id_3,doc id_4,doc id_5
75397,New_Amsterdam_-LRB-TV_series-RRB-,Nikolaj_Coster-Waldau,The_Other_Woman_-LRB-2014_film-RRB-,Game_of_Thrones_-LRB-season_1-RRB-,Simon_Staho
150448,The_O.C._-LRB-season_3-RRB-,Genre_fiction,Joel_Spolsky,Premiere_-LRB-The_O.C.-RRB-,Quetzal_-LRB-disambiguation-RRB-
214861,History_of_art,Leo_Zogmayer,Philip_Pocock,Michael_Salter,BASA_Film
156709,Nate_Butler,Cheetah-licious_Christmas,Tamera_Mowry,The_Cheetah_Girls_-LRB-group-RRB-,3LW
129629,Homeland_-LRB-TV_series-RRB-,Gideon_Raff,Prisoners_of_War_-LRB-TV_series-RRB-,Homeland_-LRB-season_5-RRB-,Homeland_-LRB-season_4-RRB-
33078,KDrew,1995_NBA_Playoffs,TD_Garden,Dennis_Johnson,Red_Auerbach
6744,Charlton_Heston,Debra_Paget,Fredric_M._Frank,Albert_Nozaki,Katherine_Orrison
226034,Super_Mario_Land,Wii_Sports,Minecraft,Gerasimov,Tetris
40190,Krystal_Davis,Changing_of_the_Seasons,Jules_Shear,Marshall_Hain,Phil_Collins_discography
76253,Laurie_Spiegel,Atlanta_Marriott_Marquis,Black_Widow_Games,Peter_and_the_Starcatchers,Donald_Sutherland
