claim id,doc id_1,doc id_2,doc id_3,doc id_4,doc id_5
75397,New_Amsterdam_-LRB-TV_series-RRB-,The_Other_Woman_-LRB-2014_film-RRB-,Nikolaj_Coster-Waldau,Ved_verdens_ende,A_Second_Chance_-LRB-2014_film-RRB-
150448,Joel_Spolsky,Brett_Atwood,Bedside_Press,Only_Much_Louder,Quetzal_-LRB-disambiguation-RRB-
214861,History_of_art,The_arts,Fine_art,World_Festival_of_Black_Arts,Narrative
156709,Empire_Girls-COLON-_Julissa_and_Adrienne,Loni_Love,All_You've_Got,Cheetah-licious_Christmas,3LW
129629,List_of_Homeland_episodes,Homeland_-LRB-TV_series-RRB-,Homeland_-LRB-season_2-RRB-,Homeland_-LRB-season_3-RRB-,Homeland_-LRB-season_6-RRB-
33078,List_of_Boston_Celtics_head_coaches,Boston_Celtics,1974_75_Boston_Celtics_season,1994_95_Boston_Celtics_season,2014_15_Providence_Friars_men's_ice_hockey_season
6744,Katherine_Orrison,The_Nth_Commandment,The_Ten_Commandments_-LRB-1923_film-RRB-,Debra_Paget,The_Sign_of_the_Cross_-LRB-1932_film-RRB-
226034,Tetris,Corum_II-COLON-_Dark_Lord,Sechs_Kies_discography,John_C._Maxwell,Don_Colbert
40190,Cyndi_Lauper,She's_So_Unusual,And_We_Danced_-LRB-The_Hooters_song-RRB-,Summertime-COLON-_Willie_Nelson_Sings_Gershwin,List_of_awards_and_nominations_for_the_musical_Kinky_Boots
76253,The_Hunger_Games,The_Hunger_Games-COLON-_Catching_Fire___Original_Motion_Picture_Soundtrack,Fictional_universe_of_The_Hunger_Games,Jayme_Dee,The_Hunger_Games_-LRB-disambiguation-RRB-
