claim id,doc id_1,doc id_2,doc id_3,doc id_4,doc id_5
75397,'New_Amsterdam_-LRB-TV_series-RRB-,Nikolaj_Coster-Waldau,The_Other_Woman_-LRB-2014_film-RRB-,Ved_verdens_ende,Nukaaka_Coster-Waldau
150448,Only_Much_Louder,Joel_Spolsky,Tosyn_Bucknor,Brett_Atwood,Bedside_Press
214861,History_of_art,The_arts,Fine_art,World_Festival_of_Black_Arts,Narrative
156709,Empire_Girls-COLON-_Julissa_and_Adrienne,All_You've_Got,Loni_Love,3LW,Adrienne_Bailon
129629,Homeland_-LRB-season_2-RRB-,Homeland_-LRB-season_3-RRB-,Homeland_-LRB-season_6-RRB-,List_of_Homeland_episodes,Homeland_-LRB-season_4-RRB-
33078,1974_75_Boston_Celtics_season,List_of_Boston_Celtics_head_coaches,2014_15_Providence_Friars_men's_ice_hockey_season,Boston_Celtics,TD_Garden
6744,Katherine_Orrison,The_Nth_Commandment,Debra_Paget,The_King_of_Kings_-LRB-1927_film-RRB-,The_Ten_Commandments_-LRB-1923_film-RRB-
226034,Tetris,Corum_II-COLON-_Dark_Lord,John_C._Maxwell,Don_Colbert,Io_vagabondo
40190,Cyndi_Lauper,She's_So_Unusual,And_We_Danced_-LRB-The_Hooters_song-RRB-,Summertime-COLON-_Willie_Nelson_Sings_Gershwin,List_of_awards_and_nominations_for_the_musical_Kinky_Boots
76253,The_Hunger_Games,The_Hunger_Games-COLON-_Catching_Fire___Original_Motion_Picture_Soundtrack,Fictional_universe_of_The_Hunger_Games,Jayme_Dee,The_Hunger_-LRB-1986_film-RRB-
