claim id,doc id_1,doc id_2,doc id_3,doc id_4,doc id_5
75397,New_Amsterdam_-LRB-TV_series-RRB-,The_Other_Woman_-LRB-2014_film-RRB-,Nikolaj_Coster-Waldau,Nukaaka_Coster-Waldau,Fox_45
150448,Only_Much_Louder,Tosyn_Bucknor,Stacey_Roy,Joel_Spolsky,Video_copy_detection
214861,History_of_art,The_arts,Fine_art,Narrative,World_Festival_of_Black_Arts
156709,Empire_Girls-COLON-_Julissa_and_Adrienne,Loni_Love,All_You've_Got,Cheetah-licious_Christmas,3LW
129629,List_of_Homeland_episodes,Homeland_-LRB-season_2-RRB-,Homeland_-LRB-season_3-RRB-,Homeland_-LRB-season_6-RRB-,Homeland_-LRB-TV_series-RRB-
33078,1974_75_Boston_Celtics_season,2014_15_Providence_Friars_men's_ice_hockey_season,List_of_Boston_Celtics_head_coaches,Boston_Celtics,1994_95_Boston_Celtics_season
6744,Katherine_Orrison,Debra_Paget,The_Nth_Commandment,Fredric_M._Frank,The_King_of_Kings_-LRB-1927_film-RRB-
226034,Tetris,Corum_II-COLON-_Dark_Lord,John_C._Maxwell,Don_Colbert,Do_You_Hear_What_I_Hear?
40190,Cyndi_Lauper,She's_So_Unusual,And_We_Danced_-LRB-The_Hooters_song-RRB-,Miss_Ko,India_Mart¨ªnez
76253,The_Hunger_Games,The_Hunger_Games-COLON-_Catching_Fire___Original_Motion_Picture_Soundtrack,Jayme_Dee,The_Hunger_-LRB-1986_film-RRB-,Fictional_universe_of_The_Hunger_Games
