claim id,doc id_1,doc id_2,doc id_3,doc id_4,doc id_5
75397,New_Amsterdam_-LRB-TV_series-RRB-,Ved_verdens_ende,Nikolaj_Coster-Waldau,A_Thousand_Times_Good_Night,The_Other_Woman_-LRB-2014_film-RRB-
150448,Bedside_Press,Appticles,Only_Much_Louder,Roman_Atwood,Abominable_Pictures
214861,History_of_art,Fine_art,World_Festival_of_Black_Arts,The_arts,Tamil_culture
156709,Empire_Girls-COLON-_Julissa_and_Adrienne,All_You've_Got,Julissa_Bermudez,Adrienne_Bailon,I'm_in_Love_with_a_Church_Girl
129629,Homeland_-LRB-season_6-RRB-,Homeland_-LRB-season_2-RRB-,Homeland_-LRB-season_3-RRB-,List_of_Homeland_episodes,Homeland_-LRB-season_4-RRB-
33078,1974_75_Boston_Celtics_season,TD_Garden,List_of_Boston_Celtics_head_coaches,North_Station,2014_15_Providence_Friars_men's_ice_hockey_season
6744,Katherine_Orrison,The_Nth_Commandment,The_King_of_Kings_-LRB-1927_film-RRB-,Debra_Paget,After_the_Truth
226034,Tetris,Corum_II-COLON-_Dark_Lord,Peggy_Anderson,Io_vagabondo,Eva_Strittmatter
40190,Cyndi_Lauper,She's_So_Unusual,List_of_awards_and_nominations_received_by_Cyndi_Lauper,List_of_Billboard_200_number-one_albums_of_1985,And_We_Danced_-LRB-The_Hooters_song-RRB-
76253,Nina_Jacobson,The_Hunger_Games-COLON-_Catching_Fire___Original_Motion_Picture_Soundtrack,The_Hunger_Games,The_Hunger_Games-COLON-_Mockingjay,Jo_Blankenburg
